"SITE","year","substrate_group","Proportion"
"Harry's Bommie","2015","HCB",0.013
"Harry's Bommie","2015","NIA",0
"Harry's Bommie","2015","NL",0.376
"Harry's Bommie","2015","NR",0
"Harry's Bommie","2015","OT",0
"Harry's Bommie","2015","RKC",0
"Harry's Bommie","2015","SC",0
"Harry's Bommie","2015","SP",0
"Harry's Bommie","2016","HC",0.838
"Harry's Bommie","2016","HCB",0.025
"Harry's Bommie","2016","NIA",0
"Harry's Bommie","2016","NL",0.131
"Harry's Bommie","2016","NR",0
"Harry's Bommie","2016","OT",0
"Harry's Bommie","2016","RKC",0
"Harry's Bommie","2016","SC",0.006
"Harry's Bommie","2016","SP",0
"Harry's Bommie","2017","HC",0.526
"Harry's Bommie","2017","HCB",0.019
"Harry's Bommie","2017","NIA",0
"Harry's Bommie","2017","NL",0.362
"Harry's Bommie","2017","NR",0
"Harry's Bommie","2017","OT",0.006
"Harry's Bommie","2017","RKC",0.043
"Harry's Bommie","2017","SC",0.031
"Harry's Bommie","2017","SP",0.013
"Harry's Bommie","2018","HC",0.733
"Harry's Bommie","2018","HCB",0.019
"Harry's Bommie","2018","NIA",0
"Harry's Bommie","2018","NL",0.25
"Harry's Bommie","2018","NR",0
"Harry's Bommie","2018","OT",0
"Harry's Bommie","2018","RKC",0
"Harry's Bommie","2018","SC",0
"Harry's Bommie","2018","SP",0
"Harry's Bommie","2019","HC",0.657
"Harry's Bommie","2019","HCB",0.031
"Harry's Bommie","2019","NIA",0
"Harry's Bommie","2019","NL",0.257
"Harry's Bommie","2019","NR",0
"Harry's Bommie","2019","OT",0
"Harry's Bommie","2019","RKC",0.006
"Harry's Bommie","2019","SC",0.051
"Harry's Bommie","2019","SP",0
"Harry's Bommie","2020","HC",0.651
"Harry's Bommie","2020","HCB",0.006
"Harry's Bommie","2020","NIA",0
"Harry's Bommie","2020","NL",0.332
"Harry's Bommie","2020","NR",0
"Harry's Bommie","2020","OT",0
"Harry's Bommie","2020","RKC",0
"Harry's Bommie","2020","SC",0.013
"Harry's Bommie","2020","SP",0
"Harry's Bommie","2021","HC",0.631
"Harry's Bommie","2021","HCB",0
"Harry's Bommie","2021","NIA",0.006
"Harry's Bommie","2021","NL",0.35
"Harry's Bommie","2021","NR",0
"Harry's Bommie","2021","OT",0
"Harry's Bommie","2021","RKC",0
"Harry's Bommie","2021","SC",0.012
"Harry's Bommie","2021","SP",0
"Harry's Bommie","2022","HC",0.744
"Harry's Bommie","2022","HCB",0
"Harry's Bommie","2022","NIA",0
"Harry's Bommie","2022","NL",0.237
"Harry's Bommie","2022","NR",0
"Harry's Bommie","2022","OT",0.006
"Harry's Bommie","2022","RKC",0.006
"Harry's Bommie","2022","SC",0.006
"Harry's Bommie","2022","SP",0
"Harry's Bommie","2023","HC",0.675
"Harry's Bommie","2023","HCB",0.006
"Harry's Bommie","2023","NIA",0
"Harry's Bommie","2023","NL",0.288
"Harry's Bommie","2023","NR",0
"Harry's Bommie","2023","OT",0
"Harry's Bommie","2023","RKC",0
"Harry's Bommie","2023","SC",0.012
"Harry's Bommie","2023","SP",0.019
"Harry's Bommie","2024","HC",0.106
"Harry's Bommie","2024","HCB",0.262
"Harry's Bommie","2024","NIA",0.019
"Harry's Bommie","2024","NL",0.469
"Harry's Bommie","2024","NR",0
"Harry's Bommie","2024","OT",0
"Harry's Bommie","2024","RKC",0.094
"Harry's Bommie","2024","SC",0.051
"Harry's Bommie","2024","SP",0
"Heron Bommie","2013","HC",0.599
"Heron Bommie","2013","HCB",0.062
"Heron Bommie","2013","NIA",0
"Heron Bommie","2013","NL",0.282
"Heron Bommie","2013","NR",0
"Heron Bommie","2013","OT",0
"Heron Bommie","2013","RKC",0.031
"Heron Bommie","2013","SC",0.026
"Heron Bommie","2013","SP",0
"Heron Bommie","2014","HC",0.714
"Heron Bommie","2014","HCB",0.05
"Heron Bommie","2014","NIA",0.038
"Heron Bommie","2014","NL",0.15
"Heron Bommie","2014","NR",0
"Heron Bommie","2014","OT",0.006
"Heron Bommie","2014","RKC",0.018
"Heron Bommie","2014","SC",0.025
"Heron Bommie","2014","SP",0
"Heron Bommie","2015","HC",0.643
"Heron Bommie","2015","HCB",0.094
"Heron Bommie","2015","NIA",0
"Heron Bommie","2015","NL",0.175
"Heron Bommie","2015","NR",0
"Heron Bommie","2015","OT",0
"Heron Bommie","2015","RKC",0.038
"Heron Bommie","2015","SC",0.05
"Heron Bommie","2015","SP",0
"Heron Bommie","2016","HC",0.463
"Heron Bommie","2016","HCB",0.006
"Heron Bommie","2016","NIA",0
"Heron Bommie","2016","NL",0.431
"Heron Bommie","2016","NR",0
"Heron Bommie","2016","OT",0.044
"Heron Bommie","2016","RKC",0
"Heron Bommie","2016","SC",0.056
"Heron Bommie","2016","SP",0
"Heron Bommie","2017","HC",0.531
"Heron Bommie","2017","HCB",0.006
"Heron Bommie","2017","NIA",0
"Heron Bommie","2017","NL",0.356
"Heron Bommie","2017","NR",0
"Heron Bommie","2017","OT",0.081
"Heron Bommie","2017","RKC",0.013
"Heron Bommie","2017","SC",0.006
"Heron Bommie","2017","SP",0.006
"Heron Bommie","2018","HC",0.663
"Heron Bommie","2018","HCB",0
"Heron Bommie","2018","NIA",0
"Heron Bommie","2018","NL",0.27
"Heron Bommie","2018","NR",0
"Heron Bommie","2018","OT",0.013
"Heron Bommie","2018","RKC",0
"Heron Bommie","2018","SC",0.056
"Heron Bommie","2018","SP",0
"Heron Bommie","2019","HC",0.432
"Heron Bommie","2019","HCB",0
"Heron Bommie","2019","NIA",0.006
"Heron Bommie","2019","NL",0.538
"Heron Bommie","2019","NR",0
"Heron Bommie","2019","OT",0.019
"Heron Bommie","2019","RKC",0.006
"Heron Bommie","2019","SC",0
"Heron Bommie","2019","SP",0
"Heron Bommie","2020","HC",0.606
"Heron Bommie","2020","HCB",0
"Heron Bommie","2020","NIA",0
"Heron Bommie","2020","NL",0.357
"Heron Bommie","2020","NR",0
"Heron Bommie","2020","OT",0
"Heron Bommie","2020","RKC",0
"Heron Bommie","2020","SC",0.038
"Heron Bommie","2020","SP",0
"Heron Bommie","2021","HC",0.469
"Heron Bommie","2021","HCB",0
"Heron Bommie","2021","NIA",0.006
"Heron Bommie","2021","NL",0.393
"Heron Bommie","2021","NR",0
"Heron Bommie","2021","OT",0.1
"Heron Bommie","2021","RKC",0
"Heron Bommie","2021","SC",0.025
"Heron Bommie","2021","SP",0.006
"Heron Bommie","2022","HC",0.55
"Heron Bommie","2022","HCB",0.013
"Heron Bommie","2022","NIA",0
"Heron Bommie","2022","NL",0.393
"Heron Bommie","2022","NR",0
"Heron Bommie","2022","OT",0.013
"Heron Bommie","2022","RKC",0
"Heron Bommie","2022","SC",0.031
"Heron Bommie","2022","SP",0
"Heron Bommie","2023","HC",0.718
"Heron Bommie","2023","HCB",0
"Heron Bommie","2023","NIA",0
"Heron Bommie","2023","NL",0.218
"Heron Bommie","2023","NR",0
"Heron Bommie","2023","OT",0.038
"Heron Bommie","2023","RKC",0
"Heron Bommie","2023","SC",0.025
"Heron Bommie","2023","SP",0
"Heron Bommie","2024","HC",0.32
"Heron Bommie","2024","HCB",0
"Heron Bommie","2024","NIA",0.013
"Heron Bommie","2024","NL",0.569
"Heron Bommie","2024","NR",0
"Heron Bommie","2024","OT",0.056
"Heron Bommie","2024","RKC",0.025
"Heron Bommie","2024","SC",0.019
"Heron Bommie","2024","SP",0
"Jetty Flat","2013","HC",0.351
"Jetty Flat","2013","HCB",0
"Jetty Flat","2013","NIA",0.025
"Jetty Flat","2013","NL",0.606
"Jetty Flat","2013","NR",0
"Jetty Flat","2013","OT",0.006
"Jetty Flat","2013","RKC",0
"Jetty Flat","2013","SC",0.013
"Jetty Flat","2013","SP",0
"Jetty Flat","2014","HC",0.312
"Jetty Flat","2014","HCB",0.013
"Jetty Flat","2014","NIA",0.038
"Jetty Flat","2014","NL",0.625
"Jetty Flat","2014","NR",0
"Jetty Flat","2014","OT",0
"Jetty Flat","2014","RKC",0
"Jetty Flat","2014","SC",0.012
"Jetty Flat","2014","SP",0
"Jetty Flat","2015","HC",0.35
"Jetty Flat","2015","HCB",0.006
"Jetty Flat","2015","NIA",0.006
"Jetty Flat","2015","NL",0.625
"Jetty Flat","2015","NR",0
"Jetty Flat","2015","OT",0
"Jetty Flat","2015","RKC",0
"Jetty Flat","2015","SC",0.013
"Jetty Flat","2015","SP",0
"Jetty Flat","2016","HC",0.437
"Jetty Flat","2016","HCB",0.031
"Jetty Flat","2016","NIA",0.013
"Jetty Flat","2016","NL",0.482
"Jetty Flat","2016","NR",0
"Jetty Flat","2016","OT",0.019
"Jetty Flat","2016","RKC",0.019
"Jetty Flat","2016","SC",0
"Jetty Flat","2016","SP",0
"Jetty Flat","2017","HC",0.313
"Jetty Flat","2017","HCB",0
"Jetty Flat","2017","NIA",0
"Jetty Flat","2017","NL",0.688
"Jetty Flat","2017","NR",0
"Jetty Flat","2017","OT",0
"Jetty Flat","2017","RKC",0
"Jetty Flat","2017","SC",0
"Jetty Flat","2017","SP",0
"Jetty Flat","2018","HC",0.293
"Jetty Flat","2018","HCB",0.013
"Jetty Flat","2018","NIA",0.006
"Jetty Flat","2018","NL",0.682
"Jetty Flat","2018","NR",0
"Jetty Flat","2018","OT",0
"Jetty Flat","2018","RKC",0.006
"Jetty Flat","2018","SC",0
