SITE,SITE_label,year,site_type,HC,HCB,total_coral,method,bleach_prop
Canyons,Canyons (SS),2016,SS,0.793,0.038,0.8310000000000001,RCA,0.04572803850782189
Canyons,Canyons (SS),2016,SS,0.793,0.038,0.8310000000000001,CW,0.02631578947368421
Canyons,Canyons (SS),2017,SS,0.606,0,0.606,RCA,0
Canyons,Canyons (SS),2017,SS,0.606,0,0.606,CW,0.04651162790697674
Canyons,Canyons (SS),2018,SS,0.676,0.013,0.6890000000000001,RCA,0.01886792452830188
Canyons,Canyons (SS),2018,SS,0.676,0.013,0.6890000000000001,CW,0
Canyons,Canyons (SS),2019,SS,0.676,0,0.676,RCA,0
Canyons,Canyons (SS),2019,SS,0.676,0,0.676,CW,0
Canyons,Canyons (SS),2020,SS,0.763,0,0.763,RCA,0
Canyons,Canyons (SS),2020,SS,0.763,0,0.763,CW,0.04335260115606936
Canyons,Canyons (SS),2021,SS,0.73,0,0.73,RCA,0
Canyons,Canyons (SS),2021,SS,0.73,0,0.73,CW,0.02016129032258064
Canyons,Canyons (SS),2022,SS,0.719,0,0.719,RCA,0
Canyons,Canyons (SS),2022,SS,0.719,0,0.719,CW,0.00909090909090909
Canyons,Canyons (SS),2023,SS,0.625,0.013,0.638,RCA,0.02037617554858934
Canyons,Canyons (SS),2023,SS,0.625,0.013,0.638,CW,0.00892857142857142
Canyons,Canyons (SS),2024,SS,0.506,0.013,0.519,RCA,0.02504816955684007
Canyons,Canyons (SS),2024,SS,0.506,0.013,0.519,CW,0.09375
Half Way,Half Way (SS),2014,SS,0.312,0.013,0.325,RCA,0.03999999999999999
Half Way,Half Way (SS),2014,SS,0.312,0.013,0.325,CW,NA
Half Way,Half Way (SS),2015,SS,0.306,0,0.306,RCA,0
Half Way,Half Way (SS),2015,SS,0.306,0,0.306,CW,0
Half Way,Half Way (SS),2016,SS,0.168,0.013,0.181,RCA,0.07182320441988949
Half Way,Half Way (SS),2016,SS,0.168,0.013,0.181,CW,0
Half Way,Half Way (SS),2017,SS,0.182,0.019,0.201,RCA,0.0945273631840796
Half Way,Half Way (SS),2017,SS,0.182,0.019,0.201,CW,0
Half Way,Half Way (SS),2020,SS,0.263,0,0.263,RCA,0
Half Way,Half Way (SS),2020,SS,0.263,0,0.263,CW,NA
Half Way,Half Way (SS),2021,SS,0.3,0,0.3,RCA,0
Half Way,Half Way (SS),2021,SS,0.3,0,0.3,CW,0
Half Way,Half Way (SS),2022,SS,0.243,0,0.243,RCA,0
Half Way,Half Way (SS),2022,SS,0.243,0,0.243,CW,0
Half Way,Half Way (SS),2023,SS,0.463,0,0.463,RCA,0
Half Way,Half Way (SS),2023,SS,0.463,0,0.463,CW,0.01428571428571428
Half Way,Half Way (SS),2024,SS,0.162,0,0.162,RCA,0
Half Way,Half Way (SS),2024,SS,0.162,0,0.162,CW,0.09615384615384616
Half Way,Half Way (SS),2013,SS,NA,NA,NA,RCA,NA
Half Way,Half Way (SS),2013,SS,NA,NA,NA,CW,NA
Half Way,Half Way (SS),2018,SS,NA,NA,NA,RCA,NA
Half Way,Half Way (SS),2018,SS,NA,NA,NA,CW,0
Half Way,Half Way (SS),2019,SS,NA,NA,NA,RCA,NA
Half Way,Half Way (SS),2019,SS,NA,NA,NA,CW,0.01388888888888888
Harry's Bommie,Harry's Bommie (SS),2013,SS,0.633,0,0.633,RCA,0
Harry's Bommie,Harry's Bommie (SS),2013,SS,0.633,0,0.633,CW,NA
Harry's Bommie,Harry's Bommie (SS),2014,SS,0.731,0.006,0.737,RCA,0.00814111261872456
Harry's Bommie,Harry's Bommie (SS),2014,SS,0.731,0.006,0.737,CW,0
Harry's Bommie,Harry's Bommie (SS),2015,SS,0.613,0.013,0.626,RCA,0.02076677316293929
Harry's Bommie,Harry's Bommie (SS),2015,SS,0.613,0.013,0.626,CW,0.08823529411764706
Harry's Bommie,Harry's Bommie (SS),2016,SS,0.838,0.025,0.863,RCA,0.02896871378910776
Harry's Bommie,Harry's Bommie (SS),2016,SS,0.838,0.025,0.863,CW,0
Harry's Bommie,Harry's Bommie (SS),2017,SS,0.526,0.019,0.545,RCA,0.03486238532110091
Harry's Bommie,Harry's Bommie (SS),2017,SS,0.526,0.019,0.545,CW,0
Harry's Bommie,Harry's Bommie (SS),2018,SS,0.733,0.019,0.752,RCA,0.02526595744680851
Harry's Bommie,Harry's Bommie (SS),2018,SS,0.733,0.019,0.752,CW,0.08333333333333333
Harry's Bommie,Harry's Bommie (SS),2019,SS,0.657,0.031,0.6880000000000001,RCA,0.04505813953488372
Harry's Bommie,Harry's Bommie (SS),2019,SS,0.657,0.031,0.6880000000000001,CW,0.025
Harry's Bommie,Harry's Bommie (SS),2020,SS,0.651,0.006,0.657,RCA,0.0091324200913242
Harry's Bommie,Harry's Bommie (SS),2020,SS,0.651,0.006,0.657,CW,NA
Harry's Bommie,Harry's Bommie (SS),2021,SS,0.631,0,0.631,RCA,0
Harry's Bommie,Harry's Bommie (SS),2021,SS,0.631,0,0.631,CW,0
Harry's Bommie,Harry's Bommie (SS),2022,SS,0.744,0,0.744,RCA,0
Harry's Bommie,Harry's Bommie (SS),2022,SS,0.744,0,0.744,CW,0
Harry's Bommie,Harry's Bommie (SS),2023,SS,0.675,0.006,0.681,RCA,0.00881057268722466
Harry's Bommie,Harry's Bommie (SS),2023,SS,0.675,0.006,0.681,CW,0.00892857142857142
Harry's Bommie,Harry's Bommie (SS),2024,SS,0.106,0.262,0.368,RCA,0.7119565217391305
Harry's Bommie,Harry's Bommie (SS),2024,SS,0.106,0.262,0.368,CW,0.08661417322834646
Heron Bommie,Heron Bommie (SS),2013,SS,0.599,0.062,0.661,RCA,0.09379727685325263
Heron Bommie,Heron Bommie (SS),2013,SS,0.599,0.062,0.661,CW,NA
Heron Bommie,Heron Bommie (SS),2014,SS,0.714,0.05,0.764,RCA,0.06544502617801047
Heron Bommie,Heron Bommie (SS),2014,SS,0.714,0.05,0.764,CW,0.02941176470588235
Heron Bommie,Heron Bommie (SS),2015,SS,0.643,0.094,0.737,RCA,0.12754409769335143
Heron Bommie,Heron Bommie (SS),2015,SS,0.643,0.094,0.737,CW,NA
Heron Bommie,Heron Bommie (SS),2016,SS,0.463,0.006,0.469,RCA,0.01279317697228145
Heron Bommie,Heron Bommie (SS),2016,SS,0.463,0.006,0.469,CW,0
Heron Bommie,Heron Bommie (SS),2017,SS,0.531,0.006,0.537,RCA,0.0111731843575419
Heron Bommie,Heron Bommie (SS),2017,SS,0.531,0.006,0.537,CW,0.02777777777777777
Heron Bommie,Heron Bommie (SS),2018,SS,0.663,0,0.663,RCA,0
Heron Bommie,Heron Bommie (SS),2018,SS,0.663,0,0.663,CW,0.16666666666666666
Heron Bommie,Heron Bommie (SS),2019,SS,0.432,0,0.432,RCA,0
Heron Bommie,Heron Bommie (SS),2019,SS,0.432,0,0.432,CW,0
Heron Bommie,Heron Bommie (SS),2020,SS,0.606,0,0.606,RCA,0
Heron Bommie,Heron Bommie (SS),2020,SS,0.606,0,0.606,CW,NA
Heron Bommie,Heron Bommie (SS),2021,SS,0.469,0,0.469,RCA,0
Heron Bommie,Heron Bommie (SS),2021,SS,0.469,0,0.469,CW,NA
Heron Bommie,Heron Bommie (SS),2022,SS,0.55,0.013,0.5630000000000001,RCA,0.02309058614564831
Heron Bommie,Heron Bommie (SS),2022,SS,0.55,0.013,0.5630000000000001,CW,0.04716981132075472
Heron Bommie,Heron Bommie (SS),2023,SS,0.718,0,0.718,RCA,0
Heron Bommie,Heron Bommie (SS),2023,SS,0.718,0,0.718,CW,0.0303030303030303
Heron Bommie,Heron Bommie (SS),2024,SS,0.32,0,0.32,RCA,0
Heron Bommie,Heron Bommie (SS),2024,SS,0.32,0,0.32,CW,0.176
