"SITE","site_type","SITE_label","year","substrate_group","Proportion"
"Jetty Flat","SF","Jetty Flat (SF)",2014,"OT",0
"Jetty Flat","SF","Jetty Flat (SF)",2014,"RKC",0
"Jetty Flat","SF","Jetty Flat (SF)",2014,"SC",0.012
"Jetty Flat","SF","Jetty Flat (SF)",2014,"SP",0
"Jetty Flat","SF","Jetty Flat (SF)",2015,"HC",0.35
"Jetty Flat","SF","Jetty Flat (SF)",2015,"HCB",0.006
"Jetty Flat","SF","Jetty Flat (SF)",2015,"NIA",0.006
"Jetty Flat","SF","Jetty Flat (SF)",2015,"NL",0.625
"Jetty Flat","SF","Jetty Flat (SF)",2015,"NR",0
"Jetty Flat","SF","Jetty Flat (SF)",2015,"OT",0
"Jetty Flat","SF","Jetty Flat (SF)",2015,"RKC",0
"Jetty Flat","SF","Jetty Flat (SF)",2015,"SC",0.013
"Jetty Flat","SF","Jetty Flat (SF)",2015,"SP",0
"Jetty Flat","SF","Jetty Flat (SF)",2016,"HC",0.437
"Jetty Flat","SF","Jetty Flat (SF)",2016,"HCB",0.031
"Jetty Flat","SF","Jetty Flat (SF)",2016,"NIA",0.013
"Jetty Flat","SF","Jetty Flat (SF)",2016,"NL",0.482
"Jetty Flat","SF","Jetty Flat (SF)",2016,"NR",0
"Jetty Flat","SF","Jetty Flat (SF)",2016,"OT",0.019
"Jetty Flat","SF","Jetty Flat (SF)",2016,"RKC",0.019
"Jetty Flat","SF","Jetty Flat (SF)",2016,"SC",0
"Jetty Flat","SF","Jetty Flat (SF)",2016,"SP",0
"Jetty Flat","SF","Jetty Flat (SF)",2017,"HC",0.313
"Jetty Flat","SF","Jetty Flat (SF)",2017,"HCB",0
"Jetty Flat","SF","Jetty Flat (SF)",2017,"NIA",0
"Jetty Flat","SF","Jetty Flat (SF)",2017,"NL",0.688
"Jetty Flat","SF","Jetty Flat (SF)",2017,"NR",0
"Jetty Flat","SF","Jetty Flat (SF)",2017,"OT",0
"Jetty Flat","SF","Jetty Flat (SF)",2017,"RKC",0
"Jetty Flat","SF","Jetty Flat (SF)",2017,"SC",0
"Jetty Flat","SF","Jetty Flat (SF)",2017,"SP",0
"Jetty Flat","SF","Jetty Flat (SF)",2018,"HC",0.293
"Jetty Flat","SF","Jetty Flat (SF)",2018,"HCB",0.013
"Jetty Flat","SF","Jetty Flat (SF)",2018,"NIA",0.006
"Jetty Flat","SF","Jetty Flat (SF)",2018,"NL",0.682
"Jetty Flat","SF","Jetty Flat (SF)",2018,"NR",0
"Jetty Flat","SF","Jetty Flat (SF)",2018,"OT",0
"Jetty Flat","SF","Jetty Flat (SF)",2018,"RKC",0.006
"Jetty Flat","SF","Jetty Flat (SF)",2018,"SC",0
"Jetty Flat","SF","Jetty Flat (SF)",2018,"SP",0
"Jetty Flat","SF","Jetty Flat (SF)",2019,"HC",0.238
"Jetty Flat","SF","Jetty Flat (SF)",2019,"HCB",0
"Jetty Flat","SF","Jetty Flat (SF)",2019,"NIA",0
"Jetty Flat","SF","Jetty Flat (SF)",2019,"NL",0.763
"Jetty Flat","SF","Jetty Flat (SF)",2019,"NR",0
"Jetty Flat","SF","Jetty Flat (SF)",2019,"OT",0
"Jetty Flat","SF","Jetty Flat (SF)",2019,"RKC",0
"Jetty Flat","SF","Jetty Flat (SF)",2019,"SC",0
"Jetty Flat","SF","Jetty Flat (SF)",2019,"SP",0
"Jetty Flat","SF","Jetty Flat (SF)",2020,"HC",0.306
"Jetty Flat","SF","Jetty Flat (SF)",2020,"HCB",0.006
"Jetty Flat","SF","Jetty Flat (SF)",2020,"NIA",0
"Jetty Flat","SF","Jetty Flat (SF)",2020,"NL",0.594
"Jetty Flat","SF","Jetty Flat (SF)",2020,"NR",0
"Jetty Flat","SF","Jetty Flat (SF)",2020,"OT",0
"Jetty Flat","SF","Jetty Flat (SF)",2020,"RKC",0.094
"Jetty Flat","SF","Jetty Flat (SF)",2020,"SC",0
"Jetty Flat","SF","Jetty Flat (SF)",2020,"SP",0
"Jetty Flat","SF","Jetty Flat (SF)",2021,"HC",0.355
"Jetty Flat","SF","Jetty Flat (SF)",2021,"HCB",0
"Jetty Flat","SF","Jetty Flat (SF)",2021,"NIA",0
"Jetty Flat","SF","Jetty Flat (SF)",2021,"NL",0.638
"Jetty Flat","SF","Jetty Flat (SF)",2021,"NR",0
"Jetty Flat","SF","Jetty Flat (SF)",2021,"OT",0
"Jetty Flat","SF","Jetty Flat (SF)",2021,"RKC",0
"Jetty Flat","SF","Jetty Flat (SF)",2021,"SC",0.006
"Jetty Flat","SF","Jetty Flat (SF)",2021,"SP",0
"Jetty Flat","SF","Jetty Flat (SF)",2022,"HC",0.287
"Jetty Flat","SF","Jetty Flat (SF)",2022,"HCB",0
"Jetty Flat","SF","Jetty Flat (SF)",2022,"NIA",0
"Jetty Flat","SF","Jetty Flat (SF)",2022,"NL",0.705
"Jetty Flat","SF","Jetty Flat (SF)",2022,"NR",0
"Jetty Flat","SF","Jetty Flat (SF)",2022,"OT",0
"Jetty Flat","SF","Jetty Flat (SF)",2022,"RKC",0
"Jetty Flat","SF","Jetty Flat (SF)",2022,"SC",0.006
"Jetty Flat","SF","Jetty Flat (SF)",2022,"SP",0
"Jetty Flat","SF","Jetty Flat (SF)",2023,"HC",0.431
"Jetty Flat","SF","Jetty Flat (SF)",2023,"HCB",0
"Jetty Flat","SF","Jetty Flat (SF)",2023,"NIA",0
"Jetty Flat","SF","Jetty Flat (SF)",2023,"NL",0.569
"Jetty Flat","SF","Jetty Flat (SF)",2023,"NR",0
"Jetty Flat","SF","Jetty Flat (SF)",2023,"OT",0
"Jetty Flat","SF","Jetty Flat (SF)",2023,"RKC",0
"Jetty Flat","SF","Jetty Flat (SF)",2023,"SC",0
"Jetty Flat","SF","Jetty Flat (SF)",2023,"SP",0
"Jetty Flat","SF","Jetty Flat (SF)",2024,"HC",0.244
"Jetty Flat","SF","Jetty Flat (SF)",2024,"HCB",0
"Jetty Flat","SF","Jetty Flat (SF)",2024,"NIA",0
"Jetty Flat","SF","Jetty Flat (SF)",2024,"NL",0.693
"Jetty Flat","SF","Jetty Flat (SF)",2024,"NR",0
"Jetty Flat","SF","Jetty Flat (SF)",2024,"OT",0
"Jetty Flat","SF","Jetty Flat (SF)",2024,"RKC",0
"Jetty Flat","SF","Jetty Flat (SF)",2024,"SC",0.063
"Jetty Flat","SF","Jetty Flat (SF)",2024,"SP",0
"Research Zone","SF","Research Zone (SF)",2013,"HC",0.056
"Research Zone","SF","Research Zone (SF)",2013,"HCB",0
"Research Zone","SF","Research Zone (SF)",2013,"NIA",0.056
"Research Zone","SF","Research Zone (SF)",2013,"NL",0.887
"Research Zone","SF","Research Zone (SF)",2013,"NR",0
"Research Zone","SF","Research Zone (SF)",2013,"OT",0
"Research Zone","SF","Research Zone (SF)",2013,"RKC",0
